id,name,pos,team,set-id,set-userid,set-name,ssn-gms,ssn-ssn,pass-2pt,pass-att,pass-cmp,pass-1d,pass-int,pass-sck,pass-td,pass-yds,rush-2pt,rush-car,rush-1d,rush-td,rush-yds,rec-2pt,rec-1d,rec-rec,rec-tgt,rec-td,rec-yds,fum-lost,kck-xpa,kck-xpc,kck-xpm,kck-fga,kck-fgc,kck-fgm,idp-2pr,idp-ast,idp-blk,idp-fmr,idp-fmf,idp-int,idp-pd,idp-sck,idp-saf,idp-tac,idp-tfl,idp-td,tmd-2pr,tmd-blk,tmd-fmf,tmd-fmr,tmd-int,tmd-pa,tmd-sck,tmd-saf,tmd-td,tmd-ya,pr-td,pr-yds,kr-td,kr-yds
EbikAr99,Arnold Ebiketie,de,PHI,67054,-1,Consensus,16.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.07,0,0.4,0.73,0,0.93,2.77,0,14.13,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BootAn99,Andrew Booth Jr,cb,FA,67054,-1,Consensus,5.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0.03,0.03,0.33,1,0,0,6.67,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GrosYe99,Yetur Gross-Matos,de,FA,67054,-1,Consensus,5.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0.1,0.43,0,0.5,0.83,0,6.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TartTe99,Teair Tart,dt,LAC,67054,-1,Consensus,16.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.57,0,0.23,0.27,0.1,2.53,1.2,0,18.27,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0
StewSh99,Shemar Stewart,de,CIN,67054,-1,Consensus,11.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0.33,0.6,0,1,2.33,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HarrSh99,Shelby Harris,dt,NYG,67054,-1,Consensus,16.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.6,0,0.17,0.5,0,1.63,1.93,0,17.57,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OrhoRu99,Ruke Orhorhoro,dt,JAX,67054,-1,Consensus,16.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.57,0,0.4,0.6,0,0.63,2,0,12.23,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OladOl99,Oluwafemi Oladejo,de,TEN,67054,-1,Consensus,11.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.33,0,0.63,0.23,0,0.67,2.33,0,11.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MurpMy99,Myles Murphy,de,CIN,67054,-1,Consensus,16.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.97,0,0.67,1.07,0,1.93,5.8,0,23.27,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BrooKa99,Karl Brooks,dt,GB,67054,-1,Consensus,16.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.93,0,0.77,0.6,0,1.2,2.93,0,13.5,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0
